S,E,I,R,Beta
10000,0,0,0,
9937,63,0,0,
9872,124,4,0,0.0014941247974068071
9813,170,17,0,0.0004495836855072203
9738,229,30,3,0.00022249606353118368
9673,261,61,5,0.0001050753067944744
9611,303,73,13,0.00011544990543084907
9530,348,107,15,8.335703288189779e-05
9445,399,135,21,8.07795619865498e-05
9342,462,166,30,6.83530525441522e-05
9236,522,203,39,3.5201727231416156e-05
9170,538,234,58,5.871990604815032e-05
9044,614,259,83,5.2510335570928226e-05
8921,659,321,99,4.0857076707590094e-05
8804,708,363,125,4.286806773279864e-05
8667,770,399,164,4.973782095714653e-05
8495,854,455,196,4.242961276510423e-05
8331,928,517,224,3.714773211934545e-05
8171,988,576,265,3.4208039271678976e-05
8010,1057,617,316,3.824231056398303e-05
7821,1143,667,369,2.108650316192115e-05
7711,1129,734,426,1.9965108763905345e-05
7598,1132,788,482,1.770436516155066e-05
7492,1118,853,537,1.9716224073947733e-05
7366,1135,880,619,2.2523634388961567e-05
7220,1167,924,689,1.9936204146730462e-05
7087,1186,959,768,2.4718848843209372e-05
6919,1225,1020,836,1.9270607505901623e-05
6783,1236,1063,918,2.024872928821972e-05
6637,1243,1133,987,1.95485976141934e-05
6490,1280,1160,1070,1.926040061633282e-05
6345,1284,1193,1178,1.862717705131787e-05
6204,1296,1225,1275,1.8026552980960277e-05
6067,1308,1248,1377,1.650902528601556e-05
5942,1318,1252,1488,2.0297379460449952e-05
5791,1318,1294,1597,1.6414107378154612e-05
5668,1322,1282,1728,1.7202522963303852e-05
5543,1311,1327,1819,1.5498477954298795e-05
5429,1291,1349,1931,1.3654261269646946e-05
5329,1266,1369,2036,1.8504808714421592e-05
5194,1248,1425,2133,1.6348147998027414e-05
5073,1239,1446,2242,1.6767640580307593e-05
4950,1230,1467,2353,1.514807240778611e-05
4840,1234,1445,2481,1.4727329920786982e-05
4737,1217,1464,2582,1.7015219104111223e-05
4619,1209,1482,2690,1.3439764582071529e-05
4527,1174,1496,2803,1.5947098159704874e-05
4419,1167,1477,2937,1.4402018243680005e-05
4325,1123,1490,3062,1.1793459285409474e-05
4249,1094,1468,3189,1.442878369201152e-05
4159,1070,1452,3319,1.3909891721428585e-05
4075,1055,1437,3433,1.4515585042116543e-05
3990,1036,1430,3544,1.57736999842263e-05
3900,1004,1431,3665,1.487215323693311e-05
3817,995,1415,3773,1.073864272813367e-05
3759,941,1403,3897,1.0997601953932563e-05
3701,901,1396,4002,1.0258204821898209e-05
3648,867,1359,4126,1.1497424576894776e-05
3591,855,1309,4245,1.2764276364453278e-05
3531,832,1296,4341,1.0926153189912277e-05
3481,799,1275,4445,1.4645329548078928e-05
3416,770,1280,4534,1.2807377049180328e-05
3360,763,1219,4658,1.2939958592132505e-05
3307,730,1211,4752,1.2734791475280647e-05
3256,705,1187,4852,1.0867112804770766e-05
3214,690,1155,4941,1.2930442301941991e-05
3166,670,1134,5030,1.1976901848453753e-05
3123,647,1109,5121,8.66199092396591e-06
3093,609,1091,5207,7.408586195788782e-06
3068,571,1073,5288,1.3062111250305288e-05
3025,539,1059,5377,1.1862118480712352e-05
2987,521,1034,5458,1.2951027631665004e-05
2947,501,1000,5552,9.84051577875806e-06
2918,469,972,5641,9.872030281747744e-06
2890,446,946,5718,1.3533581570919626e-05
2853,439,921,5787,9.894912226419949e-06
2827,417,908,5848,1.2076748908028154e-05
2796,404,878,5922,1.0998465103092279e-05
2769,381,869,5981,1.0805145410244359e-05
2743,360,841,6056,7.369314952816878e-06
2726,341,805,6128,9.113984041413944e-06
2706,321,786,6187,9.87345057350643e-06
2685,301,752,6262,7.924244225207021e-06
2669,289,730,6312,1.2317988883015032e-05
2645,284,706,6365,7.497175171497882e-06
2631,271,677,6421,1.0667043943168236e-05
2612,262,651,6475,5.880927681056121e-06
2602,254,617,6527,7.4746143410442285e-06
2590,244,592,6574,1.5000521757278514e-05
2567,247,562,6624,1.2477004188114405e-05
2549,244,545,6662,1.0077706314042923e-05
2535,235,530,6700,1.0420155558036545e-05
2521,223,513,6743,1.0052015313085482e-05
2508,215,490,6787,6.509780945871171e-06
2500,198,483,6819,3.3126293995859214e-06
2496,184,453,6867,7.075338201166016e-06
2488,174,437,6901,8.27771932277219e-06
2479,170,417,6934,9.673584246761526e-06
2469,163,406,6962,5.985550880175257e-06
2463,155,386,6996,7.362856283356369e-06
2456,141,375,7028,1.0857763300760044e-05
2446,140,357,7057,1.0306657413578678e-05
2437,130,354,7079,8.114079318602802e-06
2430,127,326,7117,5.0493574692620365e-06
2426,119,303,7152,6.801999243617684e-06
2421,111,295,7173,8.401066935500809e-06
2415,108,289,7188,7.1639909160595185e-06
2410,94,295,7201,2.8131373514311837e-06
2408,87,281,7224,7.38936640616687e-06
2403,80,270,7247,1.541283272452644e-05
2393,83,257,7267,9.756081697428134e-06
2387,81,247,7285,3.392193544994903e-06
2385,75,228,7312,7.355915995439332e-06
2381,69,220,7330,1.145431636821809e-05
2375,66,207,7352,8.13628273582507e-06
2371,66,189,7374,1.1157750508235535e-05
2366,67,174,7393,1.7003332653200026e-05
2359,72,161,7408,1.316485825397118e-05
2354,67,159,7420,1.0687014742736838e-05
2350,69,147,7434,8.684324793747287e-06
2347,69,134,7450,9.539011376860903e-06
2344,64,128,7464,6.6659556313993175e-06
2342,61,123,7474,1.0414280060819395e-05
2339,54,123,7484,1.0427637410191972e-05
2336,52,115,7497,7.444907683144729e-06
2334,51,110,7505,1.5579964166082417e-05
2330,54,105,7511,0.0
2330,48,104,7518,4.126774513040608e-06
2329,45,98,7528,1.752525827849388e-05
2325,43,98,7534,0.0
2325,39,92,7544,9.350163627863488e-06
2323,37,89,7551,4.836829554963313e-06
2322,35,81,7562,0.0
2322,32,76,7570,5.666621333695997e-06
2321,32,72,7575,5.9840107233472164e-06
2320,30,67,7583,0.0
2320,29,57,7594,7.5620084694494855e-06
2319,27,53,7601,0.0
2319,26,53,7602,8.13623308680547e-06
2318,25,50,7607,0.0
2318,22,48,7612,8.98763301696865e-06
2317,22,43,7618,1.0037036665294938e-05
2316,21,42,7621,1.0280450694958467e-05
2315,14,48,7623,1.7998560115190783e-05
2313,15,46,7626,1.8797345814770953e-05
2311,16,42,7631,0.0
2311,14,38,7637,0.0
2311,13,31,7645,0.0
2311,12,27,7650,1.602641152619517e-05
2310,13,22,7655,0.0
2310,11,22,7657,3.935458480913026e-05
2308,13,21,7658,0.0
2308,12,18,7662,0.0
2308,10,19,7663,0.0
2308,9,16,7667,2.7079722703639513e-05
2307,8,16,7669,2.7091460771564802e-05
2306,9,15,7670,0.0
2306,9,15,7670,2.8910089621277826e-05
2305,10,14,7671,0.0
2305,9,14,7672,0.0
2305,9,12,7674,0.0
2305,9,11,7675,0.0
2305,9,9,7677,4.8204386599180526e-05
2304,8,10,7678,0.0
2304,7,11,7678,0.0
2304,6,12,7678,0.0
2304,6,11,7679,0.0
2304,6,11,7679,3.945707070707071e-05
2303,6,12,7679,0.0
2303,6,11,7680,0.0
2303,6,10,7681,0.0
2303,5,11,7681,3.947420360794221e-05
2302,6,10,7682,4.3440486533449174e-05
2301,7,9,7683,0.0
2301,6,10,7683,0.0
2301,6,9,7684,4.828818388140422e-05
2300,7,9,7684,0.0
2300,5,10,7685,0.0
2300,4,10,7686,0.0
2300,4,10,7686,0.0
2300,4,10,7686,0.0
2300,3,7,7690,0.0
2300,3,7,7690,0.0
2300,3,7,7690,0.0
2300,3,6,7691,0.0
2300,3,6,7691,0.0
2300,3,6,7691,0.0
2300,3,3,7694,0.0
2300,3,3,7694,0.0
2300,3,3,7694,0.0
2300,3,1,7696,0.0
2300,2,2,7696,0.0
2300,2,2,7696,0.0
2300,2,2,7696,0.0
2300,2,2,7696,0.0
2300,2,2,7696,0.0
2300,2,2,7696,0.0
2300,2,2,7696,0.0
2300,1,3,7696,0.0
2300,1,2,7697,0.0
2300,1,2,7697,
