S,E,I,R,Beta
10000,0,0,0,
9967,33,0,0,
9935,62,3,0,0.0009394396913269586
9907,85,8,0,0.0003154335318461694
9882,102,16,0,0.0001391418741145517
9860,112,26,2,0.00014432828834451552
9823,146,28,3,0.00014543127645031342
9783,169,42,6,9.735060333036414e-05
9743,195,53,9,9.295498074088993e-05
9695,222,69,14,5.531014791727396e-05
9658,241,82,19,5.1770552909505074e-05
9617,254,100,29,4.991161484870542e-05
9569,277,113,41,5.178965631089331e-05
9513,306,132,49,4.618878791064221e-05
9455,331,153,61,4.9771362802127725e-05
9383,369,174,74,4.2875290480093e-05
9313,402,200,85,3.972941050144958e-05
9239,430,232,99,4.058880831258794e-05
9152,481,246,121,3.9531098982318494e-05
9063,520,277,140,4.10284845232988e-05
8960,572,310,158,2.376152073732719e-05
8894,583,343,180,1.8356791783499996e-05
8838,590,370,202,2.5381797275890964e-05
8755,621,395,229,2.6603242993154003e-05
8663,645,444,248,2.5738540110004962e-05
8564,686,465,285,2.3604686785895447e-05
8470,701,502,327,2.3283489418947586e-05
8371,735,523,371,2.466861259382924e-05
8263,754,564,419,2.703670038958598e-05
8137,805,602,456,2.429327990717109e-05
8018,838,626,518,2.7294816694386513e-05
7881,893,657,569,1.8347500500693633e-05
7786,910,684,620,2.3846970796286033e-05
7659,942,717,682,2.3855035679667297e-05
7528,987,730,755,2.6203543301355307e-05
7384,1045,756,815,2.0421675351252816e-05
7270,1057,808,865,2.144987538643823e-05
7144,1078,847,931,2.3797845237324013e-05
7000,1135,874,991,1.7652827721477608e-05
6892,1120,917,1071,2.2152024916597625e-05
6752,1157,954,1137,2.1268641886991168e-05
6615,1193,977,1215,2.0888601090384976e-05
6480,1203,1028,1289,1.9215064610654752e-05
6352,1222,1033,1393,1.8288177790349207e-05
6232,1230,1064,1474,1.6136699257772158e-05
6125,1195,1126,1554,1.7399499764381775e-05
6005,1186,1150,1659,1.592875502298809e-05
5895,1188,1163,1754,1.575288967069897e-05
5787,1182,1186,1845,1.8649697772905544e-05
5659,1185,1249,1907,1.627030551813778e-05
5544,1169,1275,2012,1.7542370483546953e-05
5420,1179,1279,2122,1.6733552792916514e-05
5304,1168,1304,2224,1.4024604650732403e-05
5207,1158,1298,2337,1.5831479669272992e-05
5100,1155,1293,2452,1.6226134692082557e-05
4993,1162,1294,2551,1.3310752518750362e-05
4907,1143,1304,2646,1.4534138660058687e-05
4814,1132,1287,2767,1.5656226707327662e-05
4717,1115,1291,2877,1.7078165614525767e-05
4613,1090,1317,2980,1.2838827775520009e-05
4535,1057,1317,3091,1.4399101228193105e-05
4449,1027,1326,3198,1.3730270364279329e-05
4368,1001,1352,3279,1.2361282701519387e-05
4295,945,1396,3364,1.5510805861416787e-05
4202,945,1359,3494,1.015669681804698e-05
4144,901,1344,3611,1.4184305478948337e-05
4065,901,1326,3708,1.4099688508197299e-05
3989,894,1299,3818,1.1386200426847425e-05
3930,875,1277,3918,1.4944377028699181e-05
3855,861,1254,4030,1.1377340887887682e-05
3800,837,1226,4137,1.4810680862024555e-05
3731,815,1219,4235,9.454520349096071e-06
3688,773,1207,4332,1.0558438034099711e-05
3641,744,1179,4436,1.2346429633853816e-05
3588,728,1139,4545,1.2479408975190934e-05
3537,705,1120,4638,1.3126539844097096e-05
3485,700,1084,4731,1.2706009413035306e-05
3437,676,1076,4811,1.3790447924564627e-05
3386,656,1056,4902,1.034786733250998e-05
3349,622,1037,4992,9.790052327829693e-06
3315,593,1013,5079,1.131593954310405e-05
3277,588,974,5161,1.0339000149758851e-05
3244,566,946,5244,1.07533048490236e-05
3211,542,934,5313,8.335906349759959e-06
3186,498,920,5396,1.1599661562815579e-05
3152,487,892,5469,1.0314470419521523e-05
3123,464,878,5535,9.117452481661156e-06
3098,444,852,5606,1.02292255794288e-05
3071,424,834,5671,1.28845149214396e-05
3038,420,816,5726,1.3311776323432598e-05
3005,416,775,5804,9.44662122269336e-06
2983,405,745,5867,9.44952043683783e-06
2962,400,696,5942,1.2126786033046947e-05
2937,379,678,6006,7.532820498913767e-06
2922,364,644,6070,5.8455665097929185e-06
2911,335,632,6122,8.15327283242524e-06
2896,317,616,6171,1.28928392049939e-05
2873,310,601,6216,8.687226822913198e-06
2858,296,576,6270,8.504393126506492e-06
2844,280,564,6312,7.481222132447557e-06
2832,268,541,6359,5.874244180582098e-06
2823,253,527,6397,1.1426873721618503e-05
2806,243,500,6451,7.127583749109052e-06
2796,224,485,6495,6.636874474580771e-06
2787,208,471,6534,7.618020274599159e-06
2777,202,450,6571,8.002240627375665e-06
2767,190,446,6597,7.292870327903656e-06
2758,182,431,6629,4.206282840553278e-06
2753,172,410,6665,1.2403320546100484e-05
2739,166,393,6702,1.0218993020427767e-05
2728,153,398,6721,1.1973356518663699e-05
2715,153,391,6741,1.0362059789084984e-05
2704,154,374,6768,5.9329810461032184e-06
2698,140,370,6792,1.1019173361649269e-05
2687,143,350,6820,7.44324525493115e-06
2680,134,336,6850,1.2215707178393746e-05
2669,132,316,6883,1.1856713982859934e-05
2659,129,309,6903,1.0953822336304254e-05
2650,124,290,6936,1.040988939492518e-05
2642,125,273,6960,5.545804183200095e-06
2638,120,264,6978,2.871780733797413e-06
2636,112,251,7001,1.8136860751228774e-05
2624,111,240,7025,9.527439024390244e-06
2618,103,229,7050,3.3359910061682475e-06
2616,93,217,7074,7.046322524274581e-06
2612,88,212,7088,7.223554566731197e-06
2608,81,212,7099,1.4469267276305128e-05
2600,82,200,7118,7.692307692307692e-06
2596,79,194,7131,7.942433243848586e-06
2592,75,195,7138,9.892371003482115e-06
2587,76,189,7148,1.0226140879407212e-05
2582,74,174,7170,2.2258429267163476e-06
2581,71,164,7184,7.087440111131061e-06
2578,66,158,7198,9.82019227936483e-06
2574,63,151,7212,5.1457005099389205e-06
2572,56,147,7225,2.644914886638948e-06
