S,E,I,R,Beta
10000,0,0,0,
9964,36,0,0,
9932,64,4,0,0.0007803060813532018
9901,90,9,0,0.00038155517400038154
9867,115,17,1,0.00016096435533775687
9840,132,25,3,0.00017073170731707316
9798,159,39,4,0.0001177634368081398
9753,186,50,11,0.00010253255408592229
9703,221,62,14,7.313999993350909e-05
9659,245,74,22,5.876048944689591e-05
9617,265,87,31,5.019846320990488e-05
9575,275,113,37,5.637838212528016e-05
9514,308,136,42,5.255413075467732e-05
9446,341,164,49,4.9704869269738646e-05
9369,386,180,65,4.7437767578657746e-05
9289,438,188,85,4.981870572147793e-05
9202,476,221,101,4.9664591899655886e-05
9101,534,242,123,3.813948335529381e-05
9017,558,287,138,3.1299763242408165e-05
8936,579,329,156,3.6735393599333864e-05
8828,635,360,177,2.9262951215828423e-05
8735,661,404,200,2.5786780166282228e-05
8644,687,437,232,3.467968151874768e-05
8513,751,477,259,2.8073970479481252e-05
8399,795,516,290,2.8842488631444682e-05
8274,852,549,325,2.817877495417647e-05
8146,890,588,376,2.2547688360883268e-05
8038,915,632,415,2.6968418997105522e-05
7901,979,656,464,2.7396964262010676e-05
7759,1029,700,512,2.780181540331044e-05
7608,1077,752,563,2.219807817079446e-05
7481,1106,787,626,1.8513652629864356e-05
7372,1116,838,674,2.0557692980082023e-05
7245,1128,873,754,2.039562774659144e-05
7116,1153,896,835,1.8977605797799726e-05
6995,1148,958,899,2.3428604684825578e-05
6838,1183,997,982,2.053542904231853e-05
6698,1207,1019,1076,2.227020735614252e-05
6546,1232,1062,1160,2.200852377179491e-05
6393,1271,1104,1232,2.026106452483128e-05
6250,1276,1161,1313,1.846683893195521e-05
6116,1277,1208,1399,1.7866501500786124e-05
5984,1280,1237,1499,1.904837043217375e-05
5843,1291,1264,1602,2.0986921492124084e-05
5688,1314,1292,1706,1.768973189986632e-05
5558,1303,1324,1815,1.3725078790105767e-05
5457,1274,1331,1938,1.8035960952557574e-05
5326,1285,1348,2041,1.518222570871744e-05
5217,1266,1380,2137,1.6529017454086835e-05
5098,1255,1404,2243,1.74639739174851e-05
4973,1253,1410,2364,1.4546636945890788e-05
4871,1210,1431,2488,1.8219898683016946e-05
4744,1217,1460,2579,1.5304118829263786e-05
4638,1194,1482,2686,1.585796846912119e-05
4529,1175,1507,2789,1.5237642015922457e-05
4425,1161,1509,2905,1.4227254177383908e-05
4330,1132,1533,3005,1.3257224810896234e-05
4242,1092,1541,3125,1.5297719630125617e-05
4142,1085,1497,3276,1.451478524407579e-05
4052,1055,1502,3391,1.4130550513103293e-05
3966,1043,1470,3521,1.2178345871883801e-05
3895,1017,1447,3641,1.312972792187457e-05
3821,986,1433,3760,1.3880028702438302e-05
3745,961,1416,3878,1.2445973161956054e-05
3679,941,1395,3985,9.352705123821048e-06
3631,907,1384,4078,1.333252674863053e-05
3564,886,1365,4185,1.11000111000111e-05
3510,850,1349,4291,1.2671621270583465e-05
3450,833,1321,4396,1.0532205509660006e-05
3402,810,1289,4499,1.2542250280376305e-05
3347,767,1291,4595,1.3885748524002789e-05
3287,745,1270,4698,1.1737960804792921e-05
3238,739,1229,4794,1.1810523025242857e-05
3191,721,1190,4898,1.079717377392825e-05
3150,698,1159,4993,8.765082104167523e-06
3118,649,1150,5083,1.1434308503221129e-05
3077,614,1119,5190,1.1036363947916494e-05
3039,596,1089,5276,8.762729753486282e-06
3010,562,1054,5374,8.825735845726138e-06
2982,523,1040,5455,7.73874013310633e-06
2958,498,1006,5538,1.0417548797814869e-05
2927,490,973,5610,1.0884942297516372e-05
2896,467,960,5677,1.0071362799263351e-05
2868,441,944,5747,1.2188851854478406e-05
2835,422,919,5824,1.3433818294173752e-05
2800,419,879,5902,1.0970258410531447e-05
2773,399,847,5981,1.2772854788394244e-05
2743,387,827,6043,6.612412556354286e-06
2728,359,799,6114,1.3763538734268275e-05
2698,345,786,6171,1.1317402203498209e-05
2674,332,760,6234,1.2301696650001967e-05
2649,320,746,6285,8.096534986645777e-06
2633,304,725,6338,1.5715651479235695e-05
2603,305,697,6395,9.921230938146085e-06
2585,294,682,6439,1.0777267905863401e-05
2566,285,651,6498,6.584988859396121e-06
2555,270,627,6548,5.618030131368271e-06
2546,248,612,6594,8.34321683635486e-06
2533,225,593,6649,1.1317722421539889e-05
2516,224,567,6693,1.191667858334525e-05
2499,219,547,6735,
