S,E,I,R,Beta
10000,0,0,0,
9968,32,0,0,
9938,55,7,0,0.00031624644222752495
9916,73,9,2,0.00038097799291829143
9882,101,14,3,0.0002818978228814294
9843,124,29,4,0.00016115075653273637
9797,160,39,4,0.00013609608383518765
9745,200,48,7,9.620318111852232e-05
9700,218,73,9,0.0001087417031492727
9623,278,82,17,8.364107334308301e-05
9557,316,103,24,8.025429436665648e-05
9478,357,130,35,6.979726329800185e-05
9392,419,146,43,6.490513640288442e-05
9303,472,166,59,7.446749267304627e-05
9188,535,207,70,6.204269799507445e-05
9070,608,238,84,6.439179861580795e-05
8931,680,288,101,5.52072058622277e-05
8789,759,324,128,4.5300733661184224e-05
8660,816,364,160,5.710225109763216e-05
8480,908,423,189,5.659262232927428e-05
8277,1024,468,231,5.5503408167416865e-05
8062,1138,536,264,5.53083009660208e-05
7823,1273,596,308,5.5120548854822343e-05
7566,1404,677,353,5.134530557485072e-05
7303,1539,752,406,4.2062282769249596e-05
7072,1624,858,446,4.4497357845774135e-05
6802,1730,944,524,4.485221196158657e-05
6514,1834,1058,594,4.1643619994277266e-05
6227,1916,1180,677,4.2733530578971294e-05
5913,2061,1247,779,4.014369816495832e-05
5617,2158,1339,886,3.483503814503156e-05
5355,2210,1436,999,3.654200770373145e-05
5074,2258,1564,1104,3.3771284730238e-05
4806,2284,1679,1231,3.296455170564291e-05
4540,2341,1768,1351,2.8778878545657503e-05
4309,2335,1859,1497,2.7838701812674e-05
4086,2316,1947,1651,3.0796528967215144e-05
3841,2334,2031,1794,2.9483131226468777e-05
3611,2334,2096,1959,2.7349637769241988e-05
3404,2334,2141,2121,2.785414417524565e-05
3201,2316,2195,2288,2.5903067022762675e-05
3019,2284,2238,2459,2.4272843335668854e-05
2855,2197,2304,2644,2.523594084452228e-05
2689,2156,2318,2837,2.4867233040627283e-05
2534,2087,2366,3013,2.2850684619854676e-05
2397,2000,2403,3200,2.2916702474014283e-05
2265,1935,2392,3408,2.0487718443376377e-05
2154,1855,2417,3574,2.2281049314492786e-05
2038,1793,2421,3748,2.1888942800544304e-05
1930,1745,2381,3944,1.9802712754035074e-05
1839,1677,2328,4156,1.938712395986912e-05
1756,1619,2285,4340,2.0685564466686272e-05
1673,1528,2261,4538,2.2735365892668453e-05
1587,1479,2208,4726,1.5981297316055268e-05
1531,1381,2168,4920,1.7474048025914614e-05
1473,1308,2138,5081,1.9052010082323736e-05
1413,1239,2097,5251,1.9574352333617163e-05
1355,1192,2027,5426,2.2209398216330462e-05
1294,1144,2004,5558,2.3908905527430456e-05
1232,1097,1944,5727,2.0041686708353376e-05
1184,1045,1895,5876,1.6045068815517364e-05
1148,976,1870,6006,1.6769457228567702e-05
1112,905,1835,6148,1.6172348224962263e-05
1079,853,1763,6305,1.945037447227717e-05
1042,799,1684,6475,1.8236444622756347e-05
1010,753,1625,6612,1.766945925361767e-05
981,706,1588,6725,1.3480307196943437e-05
960,665,1521,6854,1.643655489809336e-05
936,630,1477,6957,2.0253574755944424e-05
908,587,1421,7084,1.7050721245508685e-05
886,555,1348,7211,1.0047491141461977e-05
874,517,1283,7326,1.2485040246419023e-05
860,478,1239,7423,1.970831690973591e-05
839,453,1189,7519,2.0048698288141897e-05
819,432,1130,7619,1.1885852593817196e-05
808,386,1103,7703,1.2342576052709533e-05
797,359,1062,7782,1.890327901003528e-05
781,341,1002,7876,1.2778540230678208e-05
771,312,953,7964,2.17757290446035e-05
755,301,909,8035,1.1656794818554704e-05
747,272,869,8112,1.3864433568566557e-05
738,249,822,8191,1.1539044830837602e-05
731,232,771,8266,1.2420134101962204e-05
724,212,752,8312,1.6530504290584225e-05
715,196,712,8377,1.9643278070244363e-05
705,182,686,8427,2.4812356553563674e-05
693,169,662,8476,1.0898802439587938e-05
688,149,628,8535,1.3886831580506592e-05
682,139,594,8585,1.7279342792539273e-05
675,127,574,8624,2.0647825525874307e-05
667,119,547,8667,1.0963439669561929e-05
663,113,502,8722,0.0
663,98,471,8768,1.601163084864846e-05
658,87,456,8799,6.665600170639365e-06
656,83,426,8835,0.0
656,76,396,8872,2.3096821877309682e-05
650,77,368,8905,1.254180602006689e-05
647,75,337,8941,4.586335472094442e-06
646,68,320,8966,1.934984520123839e-05
642,67,303,8988,5.140700985986449e-06
641,63,285,9011,
