S,E,I,R,Beta
10000,0,0,0,
9991,9,0,0,
9988,10,2,0,0.0006007208650380457
9976,21,3,0,0.00020048115477145148
9970,26,4,0,0.00022567703109327983
9961,34,5,0,0.00010039152695512498
9956,37,7,0,0.00017218619066750846
9944,43,13,0,0.0001469769168884213
9925,56,17,2,0.00010075566750629723
9908,67,22,3,8.257789848423679e-05
9890,76,31,3,7.501875468867217e-05
9867,94,31,8,7.846291156249081e-05
9843,106,39,12,7.554503135118801e-05
9814,122,47,17,6.937549050639773e-05
9782,142,54,22,7.193863256018235e-05
9744,159,69,28,8.62663906142167e-05
9686,199,84,31,7.005693047402732e-05
9629,235,101,35,6.580780624536646e-05
9565,277,116,42,6.759558015033257e-05
9490,328,126,56,7.275829193637413e-05
9403,373,157,67,5.9609651615455426e-05
9315,425,182,78,8.375950404935912e-05
9173,517,220,90,7.185118381019395e-05
9028,606,253,113,8.537339257225216e-05
8833,740,297,130,7.394980790203251e-05
8639,860,354,147,6.964867638085858e-05
8426,975,421,178,7.160282645109893e-05
8172,1148,462,218,5.933045580622673e-05
7948,1270,520,262,6.000541984437304e-05
7700,1399,595,306,5.827785659718433e-05
7433,1530,677,360,6.140527461372804e-05
7124,1674,778,424,5.611214634913808e-05
6813,1814,879,494,5.026193817046879e-05
6512,1922,1007,559,5.550824815968808e-05
6148,2102,1097,653,4.7002263818813836e-05
5831,2228,1204,737,4.885675200312683e-05
5488,2353,1312,847,4.055411363151532e-05
5196,2410,1450,944,3.955297178200738e-05
4898,2464,1582,1056,3.626444705881138e-05
4617,2515,1674,1194,3.868618106323082e-05
4318,2547,1815,1320,4.2872618560015924e-05
3982,2642,1912,1464,3.6907716523519016e-05
3701,2656,2011,1632,3.332119170017484e-05
3453,2641,2122,1784,3.12531304309138e-05
3224,2600,2212,1964,3.337311932656972e-05
2986,2596,2269,2149,3.1733221317522024e-05
2771,2523,2384,2322,2.9518333458470883e-05
2576,2446,2457,2521,2.8913460590479225e-05
2393,2350,2534,2723,3.232263531063207e-05
2197,2303,2562,2938,2.8603336392646703e-05
2036,2249,2543,3172,2.6460401719114917e-05
1899,2160,2572,3369,3.2553762846451885e-05
1740,2106,2586,3568,2.7557760176369664e-05
1616,2001,2605,3778,2.256703597423082e-05
1521,1895,2599,3985,3.035608445973379e-05
1401,1817,2598,4184,2.500138743963264e-05
1310,1729,2565,4396,2.5594095501688913e-05
1224,1651,2539,4586,2.3811546411921734e-05
1150,1540,2488,4822,2.5863274150706e-05
1076,1444,2475,5005,2.2530134054297623e-05
1016,1349,2419,5216,2.0344191163785387e-05
966,1256,2372,5406,2.88039550448818e-05
900,1185,2313,5602,2.065619445645386e-05
857,1125,2233,5785,2.246978467153094e-05
814,1059,2152,5975,1.8838541143373857e-05
781,990,2099,6130,2.806043241126346e-05
735,940,2034,6291,1.9398123064368323e-05
706,877,1968,6449,2.4470853773693543e-05
672,835,1875,6618,1.746031746031746e-05
650,756,1826,6768,1.5165557334232033e-05
632,678,1763,6927,1.346238072330679e-05
617,620,1709,7054,1.6122103118868268e-05
600,583,1639,7178,2.54220052877771e-05
575,553,1564,7308,1.667963971978205e-05
560,509,1515,7416,3.3003300330033e-05
532,479,1443,7546,1.693422746054325e-05
519,446,1376,7659,2.240444504189631e-05
503,429,1288,7780,1.8522405937048515e-05
491,397,1212,7900,2.1845361725581927e-05
478,363,1174,7985,2.1383818152010436e-05
466,343,1108,8083,2.5177793960428255e-05
453,322,1063,8162,1.0383374970666966e-05
448,308,1007,8237,8.866505887359909e-06
444,283,962,8311,1.4047311344608641e-05
438,265,901,8396,7.601903516640567e-06
435,253,842,8470,1.0920905343052939e-05
431,228,794,8547,8.766444388598946e-06
428,210,765,8597,9.16254352208173e-06
425,194,731,8650,1.6093988895147664e-05
420,185,679,8716,2.8052458096640718e-05
412,169,636,8783,1.526531110704036e-05
408,161,590,8841,8.308408109006315e-06
406,140,558,8896,1.76563024171478e-05
402,132,532,8934,3.273108143493061e-05
395,123,508,8974,9.967108541812021e-06
393,110,480,9017,5.301102629346904e-06
392,98,456,9054,2.2377372001432153e-05
388,96,421,9095,1.224379851605162e-05
386,92,396,9126,6.542104987700843e-06
385,85,377,9153,1.377932412415171e-05
383,79,349,9189,2.9925112406203475e-05
379,77,319,9225,0.0
379,69,287,9265,0.0
379,64,264,9293,9.994403134244822e-06
378,58,253,9311,1.045653219566263e-05
377,55,232,9336,1.1433275404737949e-05
376,50,218,9356,1.2199882881124342e-05
375,48,193,9384,0.0
375,45,186,9394,0.0
375,43,175,9407,0.0
375,36,169,9420,3.155818540433925e-05
373,32,167,9428,0.0
373,30,157,9440,0.0
373,27,148,9452,0.0
373,27,139,9461,0.0
373,24,128,9475,0.0
373,22,113,9492,0.0
373,20,105,9502,2.5533001404315077e-05
372,20,96,9512,0.0
372,18,88,9522,0.0
372,18,83,9527,0.0
372,17,77,9534,0.0
372,16,72,9540,0.0
372,15,63,9550,0.0
372,15,56,9557,0.0
372,14,51,9563,0.0
372,11,47,9570,0.0
372,11,46,9571,5.84385226741468e-05
371,12,42,9575,0.0
371,11,35,9583,0.0
371,10,34,9585,0.0
371,7,36,9586,0.0
371,5,32,9592,0.0
371,4,30,9595,0.0
371,4,28,9597,9.626492106276473e-05
370,5,27,9598,0.0
370,4,26,9600,0.0
370,4,25,9601,0.0
370,4,22,9604,0.0
370,4,21,9605,0.0001287001287001287
369,3,22,9606,0.0
369,3,19,9609,0.0
369,3,17,9611,0.00015941335883947074
368,4,16,9612,0.0
368,3,16,9613,0.0
368,3,13,9616,0.0
368,2,13,9617,0.0
368,2,12,9618,0.0
368,2,11,9619,0.0
368,2,10,9620,0.0
368,2,9,9621,0.0
368,2,9,9621,0.0
368,2,9,9621,0.0
368,2,8,9622,0.0
368,2,7,9623,0.0
368,2,7,9623,0.0
368,2,7,9623,0.0
368,2,7,9623,0.0
368,2,7,9623,0.0
368,2,7,9623,0.0
368,1,7,9624,0.0
368,1,6,9625,0.0
368,1,6,9625,0.0
368,1,5,9626,0.0
368,1,5,9626,0.0
368,1,5,9626,0.0
368,1,4,9627,0.0
368,1,4,9627,0.0
368,1,4,9627,0.0
368,1,3,9628,0.0
368,1,3,9628,0.0
368,0,4,9628,0.0
368,0,4,9628,0.0
368,0,4,9628,0.0
368,0,3,9629,0.0
368,0,2,9630,0.0
368,0,2,9630,0.0
368,0,2,9630,0.0
368,0,2,9630,0.0
368,0,2,9630,0.0
368,0,2,9630,0.0
368,0,2,9630,0.0
368,0,2,9630,0.0
368,0,2,9630,0.0
368,0,2,9630,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,0.0
368,0,1,9631,
