S,E,I,R,Beta
10000,0,0,0,
9996,4,0,0,
9988,12,0,0,
9984,13,3,0,0.0003672542735042735
9973,23,4,0,0.00027574451017747917
9962,32,6,0,0.0001003814495081309
9956,35,9,0,5.580108030891478e-05
9951,39,8,2,0.00011305396442568585
9942,43,13,2,7.737183355771165e-05
9932,47,18,3,0.00011187183962053072
9912,64,21,3,7.206272339444252e-05
9897,73,25,5,6.466606042235021e-05
9881,86,26,7,5.449464006290238e-05
9867,94,30,9,5.067396371744198e-05
9852,104,34,10,3.8809677342313294e-05
9839,106,44,11,6.23677572554491e-05
9812,121,53,14,5.961125768216046e-05
9781,145,54,20,6.626604111523854e-05
9746,171,61,22,5.214413311219735e-05
9715,185,72,28,4.5748270143535196e-05
9683,198,82,37,4.030196245368423e-05
9651,206,100,43,4.248264428556626e-05
9610,228,110,52,5.297512061299783e-05
9554,253,136,57,3.92505756751099e-05
9503,275,158,64,4.795287830491903e-05
9431,321,177,71,4.4929362056974024e-05
9356,361,198,85,3.4548132025686535e-05
9292,391,224,93,3.987685259209151e-05
9209,430,252,109,4.869287636146144e-05
9096,498,281,125,3.7559038113033926e-05
9000,549,302,149,4.304635761589404e-05
8883,615,325,177,4.710813221451519e-05
8747,690,361,202,3.926949865201112e-05
8623,749,395,233,3.3763103387026454e-05
8508,794,426,272,3.697155507878804e-05
8374,852,469,305,3.0554518682305825e-05
8254,893,512,341,3.289124969711655e-05
8115,927,576,382,3.594167180119121e-05
7947,1015,617,421,3.4670535082604586e-05
7777,1079,679,465,3.1246549860119614e-05
7612,1127,748,513,3.284287966368891e-05
7425,1216,780,579,3.1598031598031596e-05
7242,1284,838,636,3.361457527984134e-05
7038,1379,869,714,3.3682024034576725e-05
6832,1456,928,784,3.201844262295082e-05
6629,1521,1006,844,2.8790899196763903e-05
6437,1546,1101,916,2.963114724606001e-05
6227,1618,1168,987,2.7910931405655e-05
6024,1638,1252,1086,2.572245628773511e-05
5830,1675,1303,1192,2.5406470619983702e-05
5637,1706,1364,1293,2.69220384587172e-05
5430,1753,1417,1400,2.4173707583915906e-05
5244,1779,1459,1518,2.0520204166882324e-05
5087,1751,1536,1626,2.4060513727802896e-05
4899,1774,1579,1748,2.3786374569986948e-05
4715,1778,1639,1868,2.0963044869327118e-05
4553,1778,1694,1975,1.7633066771496978e-05
4417,1726,1754,2103,2.116834279498021e-05
4253,1737,1780,2230,2.2984436630323076e-05
