S,E,I,R,Beta
10000,0,0,0,
9985,15,0,0,
9968,31,1,0,0.0015048154093097914
9953,42,5,0,0.0004621722093841053
9930,62,8,0,0.00025176233635448137
9910,74,16,0,0.00014505549949545913
9887,90,22,1,8.735069926533465e-05
9868,101,29,2,0.00010483205904141565
9838,123,34,5,8.071941929851835e-05
9811,142,40,7,5.605952502293344e-05
9789,150,51,10,5.808841056087365e-05
9760,164,59,17,6.251736593498194e-05
9724,183,67,26,5.5256420489080716e-05
9688,194,87,31,7.237297948878575e-05
9627,241,93,39,5.584651590341234e-05
9577,271,103,49,4.967402687060727e-05
9528,299,118,55,4.180364029657459e-05
9481,312,145,62,4.946371872601828e-05
9413,347,161,79,5.080854876927838e-05
9336,388,187,89,5.2124144820349266e-05
9245,440,213,102,5.078243029476662e-05
9145,501,241,113,4.5373183087599735e-05
9045,546,273,136,4.414233269954663e-05
8936,597,308,159,4.65067609203688e-05
8808,671,344,177,5.2146040597342794e-05
8650,771,379,200,3.9044031296231334e-05
8522,828,419,231,4.368869230222045e-05
8366,899,480,255,4.258307434855367e-05
8195,983,527,295,3.565834214179285e-05
8041,1045,569,345,3.387734521386331e-05
7886,1088,630,396,3.099726660467213e-05
7732,1122,688,458,3.1017276434990795e-05
7567,1190,719,524,3.3635544720294715e-05
7384,1257,774,585,2.694561325416222e-05
7230,1287,835,648,2.99815307145046e-05
7049,1360,886,705,3.330443746403361e-05
6841,1416,966,777,3.0869774042333354e-05
6637,1495,1001,867,2.4233714153858798e-05
6476,1518,1059,947,2.843359748874467e-05
6281,1548,1140,1031,2.430052204224939e-05
6107,1566,1206,1121,2.4847108814858082e-05
5924,1602,1245,1229,2.3863177219343274e-05
5748,1632,1292,1328,2.2621948460737994e-05
5580,1646,1343,1431,2.428628998897776e-05
5398,1665,1405,1532,2.254690349266039e-05
5227,1661,1458,1654,2.2831751250432033e-05
5053,1661,1520,1766,2.4347183017904945e-05
4866,1696,1570,1868,1.898000162311738e-05
4721,1650,1640,1989,2.4669225722123776e-05
4530,1664,1705,2101,2.265768127763428e-05
4355,1678,1721,2246,1.9479770058659458e-05
4209,1662,1737,2392,2.092727525645145e-05
4056,1658,1752,2534,1.7027595399565894e-05
3935,1622,1769,2674,2.0973952792803924e-05
3789,1609,1777,2825,1.9456255579749633e-05
3658,1551,1815,2976,1.7170562426290843e-05
3544,1522,1823,3111,1.857380424943876e-05
3424,1491,1825,3260,2.032390218922033e-05
3297,1465,1851,3387,1.654992415710499e-05
3196,1402,1866,3536,1.6935692659768978e-05
3095,1373,1844,3688,2.015005659537635e-05
2980,1358,1832,3830,1.5020075613258696e-05
2898,1311,1815,3976,2.053282685693753e-05
2790,1306,1792,4112,1.400089605734767e-05
2720,1241,1788,4251,1.8916962758257665e-05
2628,1197,1778,4397,1.626509015140231e-05
2552,1161,1757,4530,1.3827359616616382e-05
2490,1104,1739,4667,1.708963513628984e-05
2416,1079,1702,4803,1.629364752025276e-05
2349,1043,1669,4939,1.555931529830141e-05
2288,1004,1610,5098,1.710246275463667e-05
2225,979,1576,5220,1.3688473164889067e-05
2177,931,1547,5345,1.811261234644736e-05
2116,888,1542,5454,1.6243358611677073e-05
2063,863,1521,5553,1.37037685044695e-05
2020,811,1491,5678,1.4609106785930101e-05
1976,787,1454,5783,1.4966391749132645e-05
1933,762,1408,5897,1.6534002727743027e-05
1888,733,1384,5995,1.4925418830214558e-05
1849,704,1333,6114,1.3794687179096018e-05
1815,675,1306,6204,9.281173140284932e-06
1793,638,1259,6310,1.018877135378205e-05
1770,609,1202,6419,1.2220686802598307e-05
1744,581,1156,6519,1.1408367988317832e-05
1721,554,1115,6610,1.0422556496770311e-05
1701,519,1075,6705,1.6406217956605555e-05
1671,505,1036,6788,1.6751812083948528e-05
1642,482,991,6885,7.989075860577107e-06
1629,441,971,6959,1.390856634923525e-05
1607,427,924,7042,1.4142671267749053e-05
1586,400,880,7134,1.5762925598991173e-05
1564,376,860,7200,1.6356390888003332e-05
1542,360,833,7265,1.1677822880124812e-05
1527,340,797,7336,1.0681838163578383e-05
1514,322,764,7400,1.3832502230490984e-05
1498,304,726,7472,1.2872995031023918e-05
1484,285,698,7533,1.1584890213857073e-05
1472,264,669,7595,6.0928056151296546e-06
1466,243,649,7642,1.7867765919653913e-05
1449,236,626,7689,1.3229350637323967e-05
1437,226,592,7745,
