S,E,I,R,Beta
10000,0,0,0,
9980,20,0,0,
9962,34,4,0,0.0004266211604095563
9945,48,7,0,0.00018674136321195143
9932,52,15,1,0.00012082158679017317
9914,64,21,1,0.00011527709732268942
9890,78,30,2,6.403774856757668e-05
9871,91,35,3,6.367859675528605e-05
9849,102,42,7,3.6261839490593676e-05
9834,112,43,11,3.547256551782851e-05
9819,112,55,14,4.8144136136803414e-05
9793,122,68,17,4.8053531634240546e-05
9761,141,75,23,2.73196052317044e-05
9741,145,87,27,4.483950407508493e-05
9703,161,103,33,4.802838477540226e-05
9655,197,106,42,5.080953265001026e-05
9603,228,115,54,4.889776292734607e-05
9549,263,126,62,4.238788404669649e-05
9498,281,147,74,4.297360131671114e-05
9438,315,160,87,3.311082856537402e-05
9388,333,180,99,3.018037210623491e-05
9337,348,203,112,2.4796732740286935e-05
9290,346,239,125,3.062635397759772e-05
9222,371,265,142,3.8464213959236114e-05
9128,423,279,170,2.8664411209433968e-05
9055,451,302,192,3.071736006231236e-05
8971,498,318,213,3.189873169240649e-05
8880,547,339,234,3.0229344388636425e-05
8789,585,362,264,2.3887217132917905e-05
8713,591,409,287,2.4974625499878355e-05
8624,616,442,318,2.9644725022876282e-05
8511,664,469,356,2.4300672978328058e-05
8414,691,503,392,3.0244017237199573e-05
8286,756,530,428,2.664189198420614e-05
8169,783,582,466,2.3978000815252027e-05
8055,813,614,518,2.6689474035387815e-05
7923,874,634,569,2.3292008929797883e-05
7806,911,660,623,2.348620719104962e-05
7685,939,693,683,2.1030079585707433e-05
7573,967,724,736,2.0609711879875657e-05
7460,992,746,802,1.9226760775970502e-05
7353,1007,784,856,2.0642692001321134e-05
7234,1011,829,926,1.8009046544380793e-05
7126,1013,863,998,2.081389483584504e-05
6998,1027,898,1077,1.8936368074620112e-05
6879,1049,931,1141,2.0923281976044716e-05
6745,1072,974,1209,2.024467131330075e-05
6612,1093,1017,1278,1.695317532973926e-05
6498,1121,1009,1372,1.967518556445362e-05
6369,1147,1041,1443,1.6138449191561734e-05
6262,1137,1076,1525,1.929381090165618e-05
6132,1160,1099,1609,1.5432401038244457e-05
6028,1138,1135,1699,1.6223848179859627e-05
5917,1135,1144,1804,1.6398170023317902e-05
