S,E,I,R,Beta
7618,361,416,1605,6.310963911383969e-06
7598,332,442,1628,9.528585159943257e-06
7566,331,445,1658,1.06924235268959e-05
7530,333,441,1696,9.034158151972609e-06
7500,337,424,1739,8.80503144654088e-06
7472,337,420,1771,8.922198429693077e-06
7444,327,422,1807,9.231646849398096e-06
7415,315,433,1837,8.097935182258048e-06
7389,311,428,1872,1.011860267156407e-05
7357,315,424,1904,8.976177225643142e-06
7329,312,422,1937,7.75986327120916e-06
7305,310,413,1972,8.28647332667101e-06
7280,300,419,2001,1.0490702614807626e-05
7248,289,424,2039,8.460369028281061e-06
7222,277,429,2072,9.037394803110672e-06
7194,277,425,2104,1.210158792457767e-05
7157,295,407,2141,9.269116436924178e-06
7130,284,411,2175,8.872418041038346e-06
7104,281,400,2215,8.445945945945946e-06
7080,279,383,2258,7.006829815167205e-06
7061,265,393,2281,8.648732798481283e-06
7037,262,381,2320,6.713669815004828e-06
7019,252,386,2343,8.489171139475605e-06
6996,244,378,2382,8.319190709127816e-06
6974,239,373,2414,6.150766039467928e-06
6958,231,368,2443,8.201382206281166e-06
6937,226,362,2475,6.769688044810556e-06
6920,227,353,2500,4.503103047372644e-06
6909,214,344,2533,1.0518804255992353e-05
6884,210,346,2560,7.55710653504986e-06
6866,199,351,2584,7.883928652935353e-06
6847,200,347,2606,1.13640716037525e-05
6820,213,321,2646,8.67889019833548e-06
6801,210,319,2670,9.679564917384913e-06
6780,210,324,2686,7.283586437962052e-06
6764,204,320,2712,1.0626108811354229e-05
6741,197,331,2731,8.067150964629577e-06
6723,200,318,2759,8.419421922490801e-06
6705,190,323,2782,
