S,E,I,R,Beta
10000,0,0,0,
10000,0,0,0,
9998,2,0,0,
9996,4,0,0,
9995,5,0,0,
9995,4,1,0,0.0
9995,4,0,1,
9995,4,0,1,
9994,5,0,1,
9991,7,1,1,0.0
9991,6,2,1,5.0045040536482834e-05
9990,6,3,1,0.0
9990,6,3,1,3.33667000333667e-05
9989,6,4,1,5.0055060566623285e-05
9987,8,4,1,2.5032542304996496e-05
9986,8,5,1,8.011215701982776e-05
9982,11,6,1,1.6696720764041943e-05
9981,9,9,1,8.905809927751617e-05
9973,17,9,1,0.0001002707309736288
9964,25,9,2,0.00013381506757660912
9952,34,11,3,8.221280327389653e-05
9943,39,14,4,0.00010057326762546515
9929,51,15,5,6.714338469802263e-05
9919,57,19,5,6.367365131247314e-05
9907,66,22,5,4.588124099580646e-05
9897,65,29,9,3.1357464644458615e-05
9888,66,35,11,3.7563569116967175e-05
9875,72,39,14,3.1158714703018503e-05
9863,73,50,14,4.461117307107371e-05
9841,90,50,19,2.6420079260237782e-05
9828,92,55,25,6.66000666000666e-05
9792,120,59,29,5.538938739337543e-05
9760,143,64,33,4.162397540983606e-05
9734,157,72,37,5.13663447709061e-05
9698,179,80,43,3.608991544648381e-05
9670,183,99,48,4.073830340634891e-05
9631,199,119,51,4.624422710627185e-05
9578,231,128,63,3.996789517644602e-05
9529,254,140,77,4.422589688619702e-05
9470,290,147,93,4.4537350314994004e-05
9408,327,162,103,2.493281263122533e-05
9370,340,173,117,3.269566504833406e-05
9317,361,194,128,2.987555172951782e-05
9263,382,216,139,2.848849064977749e-05
9206,399,248,147,3.328824819717856e-05
9130,429,279,162,3.17987492491962e-05
9049,461,299,191,3.2524519976892804e-05
8961,500,325,214,3.4680195376546234e-05
8860,547,343,250,3.422200870028759e-05
8756,589,376,279,2.855185015989036e-05
8662,633,386,319,2.751581261970874e-05
8570,668,421,341,2.7993580877889783e-05
8469,718,436,377,2.8436142174211183e-05
8364,756,475,405,2.894610989453548e-05
8249,777,524,450,2.4985679504062025e-05
8141,803,559,497,2.3292510644787234e-05
8035,822,602,541,1.963998867082759e-05
7940,844,623,593,2.405683072481816e-05
7821,875,665,639,2.4226273393495246e-05
7695,895,713,697,2.223625658088393e-05
7573,927,758,742,2.1427324612121874e-05
7450,970,784,796,1.9346664840432816e-05
7337,979,833,851,2.110698443204459e-05
7208,1011,865,916,1.94068247868457e-05
7087,1050,888,975,1.9703631951409572e-05
6963,1069,930,1038,2.0384242980176324e-05
6831,1083,977,1109,2.202614458410818e-05
6684,1113,1006,1197,1.8441118697747684e-05
6560,1124,1039,1277,1.9806802976595693e-05
6425,1153,1056,1366,1.827614668081594e-05
6301,1158,1100,1441,2.193014095886656e-05
6149,1191,1140,1520,1.740405657174323e-05
6027,1199,1173,1601,1.95200031232005e-05
5889,1216,1207,1688,1.8851936748094373e-05
5755,1214,1245,1786,1.9679063779008302e-05
5614,1230,1254,1902,1.5056912287519978e-05
5508,1220,1274,1998,1.5960800274525765e-05
5396,1207,1291,2106,1.3780756207512925e-05
5300,1173,1315,2212,1.578305473850348e-05
5190,1160,1327,2323,1.3939042823353125e-05
5094,1139,1323,2444,1.365114383230935e-05
5002,1108,1340,2550,1.864925671522436e-05
4877,1112,1337,2674,1.3955880095372337e-05
4786,1106,1340,2768,1.5904597364202807e-05
4684,1090,1342,2884,1.3840438515999547e-05
4597,1056,1336,3011,1.286311431954451e-05
4518,1033,1322,3127,1.7412280613635558e-05
4414,1047,1299,3240,1.3429172278142225e-05
4337,1026,1287,3350,1.2720095726782377e-05
4266,992,1302,3440,1.602352902203181e-05
4177,969,1305,3549,1.3758981174961956e-05
4102,956,1271,3671,1.4385337543314251e-05
4027,949,1246,3778,1.2356401672339317e-05
3965,920,1239,3876,1.2213404822462895e-05
3905,895,1223,3977,1.4447795821236795e-05
3836,878,1219,4067,1.3045103552459708e-05
3775,841,1209,4175,1.2489113108638851e-05
3718,814,1192,4276,1.1281955009368535e-05
3668,787,1163,4382,1.1017646049447195e-05
3621,757,1157,4465,1.31280676415331e-05
3566,730,1151,4553,
