S,E,I,R,Beta
9940,0,60,0,0.007684439973172368
5357,4583,56,4,0.007456865516413771
3120,6332,538,10,0.0018515870746354018
12,8827,1116,45,0.0008960573476702509
0,7979,1883,138,
0,7172,2529,299,
0,6490,3009,501,
0,5855,3390,755,
0,5222,3757,1021,
0,4680,3986,1334,
0,4227,4116,1657,
0,3768,4258,1974,
0,3379,4312,2309,
0,3041,4280,2679,
0,2735,4258,3007,
0,2447,4214,3339,
0,2237,4105,3658,
0,2008,3979,4013,
0,1810,3878,4312,
0,1636,3717,4647,
0,1461,3597,4942,
0,1328,3428,5244,
0,1191,3285,5524,
0,1078,3146,5776,
0,977,2994,6029,
0,880,2864,6256,
0,795,2709,6496,
0,714,2571,6715,
0,645,2441,6914,
0,587,2311,7102,
0,533,2180,7287,
0,480,2079,7441,
0,430,1983,7587,
0,382,1897,7721,
0,345,1798,7857,
0,315,1687,7998,
0,289,1584,8127,
0,265,1474,8261,
0,248,1355,8397,
0,226,1274,8500,
0,197,1204,8599,
0,179,1123,8698,
0,162,1052,8786,
0,144,959,8897,
0,128,888,8984,
0,118,829,9053,
0,110,761,9129,
0,103,710,9187,
0,95,666,9239,
0,88,623,9289,
0,78,578,9344,
0,69,535,9396,
0,56,500,9444,
0,53,469,9478,
0,43,432,9525,
0,37,404,9559,
0,32,378,9590,
0,27,357,9616,
0,26,323,9651,
0,24,296,9680,
0,22,276,9702,
0,19,262,9719,
0,17,236,9747,
0,17,214,9769,
0,16,197,9787,
0,15,183,9802,
0,14,165,9821,
0,11,150,9839,
0,11,140,9849,
0,9,128,9863,
0,5,121,9874,
0,4,114,9882,
0,4,105,9891,
0,3,101,9896,
0,3,93,9904,
0,3,85,9912,
0,2,85,9913,
0,2,77,9921,
0,1,72,9927,
0,1,63,9936,
0,0,57,9943,
0,0,52,9948,
0,0,48,9952,
0,0,42,9958,
0,0,37,9963,
0,0,33,9967,
0,0,30,9970,
0,0,25,9975,
0,0,24,9976,
0,0,21,9979,
0,0,21,9979,
0,0,18,9982,
0,0,18,9982,
0,0,16,9984,
0,0,16,9984,
0,0,16,9984,
0,0,14,9986,
0,0,14,9986,
0,0,13,9987,
0,0,12,9988,
0,0,12,9988,
0,0,12,9988,
0,0,11,9989,
0,0,9,9991,
0,0,9,9991,
0,0,8,9992,
0,0,7,9993,
0,0,7,9993,
0,0,7,9993,
0,0,7,9993,
0,0,5,9995,
0,0,5,9995,
0,0,5,9995,
0,0,5,9995,
0,0,5,9995,
0,0,3,9997,
0,0,3,9997,
0,0,3,9997,
0,0,2,9998,
0,0,2,9998,
0,0,2,9998,
0,0,2,9998,
0,0,2,9998,
0,0,1,9999,
0,0,1,9999,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
