S,E,I,R,Beta
9940,0,60,0,0.007610663983903421
5401,4539,58,2,0.007581610046670796
3026,6437,533,4,0.0018693524166417627
11,8828,1117,44,0.0008952551477170994
0,7981,1899,120,
0,7206,2535,259,
0,6526,3017,457,
0,5883,3395,722,
0,5279,3731,990,
0,4705,3998,1297,
0,4245,4118,1637,
0,3817,4219,1964,
0,3420,4310,2270,
0,3080,4285,2635,
0,2796,4268,2936,
0,2534,4198,3268,
0,2288,4097,3615,
0,2049,4033,3918,
0,1841,3931,4228,
0,1649,3791,4560,
0,1488,3636,4876,
0,1325,3513,5162,
0,1211,3304,5485,
0,1092,3179,5729,
0,969,3049,5982,
0,869,2903,6228,
0,771,2755,6474,
0,675,2648,6677,
0,609,2498,6893,
0,554,2334,7112,
0,486,2228,7286,
0,439,2094,7467,
0,395,1978,7627,
0,361,1856,7783,
0,322,1750,7928,
0,277,1643,8080,
0,249,1539,8212,
0,229,1434,8337,
0,205,1317,8478,
0,180,1244,8576,
0,162,1152,8686,
0,137,1082,8781,
0,118,1003,8879,
0,110,930,8960,
0,99,870,9031,
0,86,803,9111,
0,72,759,9169,
0,63,698,9239,
0,58,645,9297,
0,49,598,9353,
0,44,564,9392,
0,40,512,9448,
0,35,473,9492,
0,33,438,9529,
0,32,404,9564,
0,30,378,9592,
0,27,353,9620,
0,22,334,9644,
0,22,306,9672,
0,18,277,9705,
0,16,259,9725,
0,16,233,9751,
0,15,212,9773,
0,15,194,9791,
0,10,185,9805,
0,10,175,9815,
0,9,162,9829,
0,9,150,9841,
0,9,141,9850,
0,9,129,9862,
0,8,123,9869,
0,7,114,9879,
0,5,108,9887,
0,4,98,9898,
0,3,91,9906,
0,3,88,9909,
0,2,80,9918,
0,1,77,9922,
0,1,73,9926,
0,1,67,9932,
0,0,58,9942,
0,0,48,9952,
0,0,45,9955,
0,0,38,9962,
0,0,34,9966,
0,0,33,9967,
0,0,32,9968,
0,0,30,9970,
0,0,27,9973,
0,0,26,9974,
0,0,25,9975,
0,0,22,9978,
0,0,20,9980,
0,0,19,9981,
0,0,17,9983,
0,0,15,9985,
0,0,13,9987,
0,0,12,9988,
0,0,12,9988,
0,0,11,9989,
0,0,10,9990,
0,0,9,9991,
0,0,9,9991,
0,0,9,9991,
0,0,9,9991,
0,0,9,9991,
0,0,9,9991,
0,0,9,9991,
0,0,9,9991,
0,0,8,9992,
0,0,8,9992,
0,0,6,9994,
0,0,6,9994,
0,0,5,9995,
0,0,5,9995,
0,0,5,9995,
0,0,3,9997,
0,0,3,9997,
0,0,2,9998,
0,0,2,9998,
0,0,2,9998,
0,0,2,9998,
0,0,2,9998,
0,0,2,9998,
0,0,2,9998,
0,0,2,9998,
0,0,2,9998,
0,0,2,9998,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,1,9999,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
0,0,0,10000,
