S,E,I,R,Beta
10000,0,0,0,0.0
9981,19,0,0,0.0
9959,41,0,0,0.0
9940,52,8,0,0.0002766599597585
9918,69,13,0,0.0001551181224502
9898,75,26,1,9.325893342866468e-05
9874,87,36,3,6.189093691625594e-05
9852,103,42,3,4.350095702105447e-05
9834,109,53,4,3.2616912444695146e-05
9817,115,57,11,3.931597354392398e-05
9795,127,62,16,4.281315351808856e-05
9769,137,74,20,2.90494199799144e-05
9748,148,79,25,3.116510754559196e-05
9724,161,82,33,3.1353151869651155e-05
9699,168,93,40,3.215052654802014e-05
9670,181,103,46,3.012017951626992e-05
9640,196,110,54,3.866465484722746e-05
9599,215,121,65,2.1524280680063954e-05
9574,218,127,81,2.960774670243721e-05
9538,234,139,89,2.5645241827087712e-05
9504,240,149,107,2.4715838474227732e-05
9469,251,160,120,2.1121554546414617e-05
9437,264,163,136,2.145321476423242e-05
9404,268,180,148,3.0719788269767e-05
9352,282,199,167,2.095593450571936e-05
9313,281,221,185,2.2835786884775964e-05
9266,295,237,202,1.775922318425604e-05
9227,306,242,225,1.746580955818667e-05
9188,309,261,242,2.085011767806417e-05
9138,317,281,264,1.5967112421712467e-05
9097,326,299,278,1.3970572826574088e-05
9059,333,304,304,1.6703365655556265e-05
9013,344,323,320,1.4427045351417062e-05
8971,360,322,347,1.2462517248470054e-05
8935,376,309,380,1.195255920591543e-05
8902,373,322,403,1.3605707978247612e-05
8863,372,339,426,1.5975732861782953e-05
8815,380,355,450,1.150407835555591e-05
8779,385,359,477,1.4912771392608532e-05
8732,396,368,504,1.3692764245454002e-05
8688,405,376,531,1.4387661141804789e-05
8641,417,387,555,1.3755705253513164e-05
8595,422,392,591,1.0388099393334996e-05
8560,406,408,626,1.3171156312992487e-05
8514,413,410,663,1.231830500123183e-05
8471,417,421,691,1.1776941365693378e-05
8429,416,429,726,9.67909379346086e-06
8394,409,437,760,1.3630745290986424e-05
8344,426,432,798,1.5813092574837542e-05
8287,437,441,835,1.5049662518158786e-05
8232,443,452,873,1.18252104887467e-05
8188,427,466,919,1.336615291717598e-05
8137,447,469,947,1.2839819582192273e-05
8088,451,479,982,1.2131687140824624e-05
8041,440,502,1017,1.3129920313770412e-05
7988,443,509,1060,1.3281218487849653e-05
7934,447,522,1097,1.1106958074613647e-05
7888,443,541,1128,1.2185382789740282e-05
7836,459,543,1162,1.222106592136966e-05
7784,467,536,1213,1.1744335874583916e-05
7735,479,535,1251,9.665979979338968e-06
7695,473,526,1306,9.14128724148069e-06
7658,464,533,1345,1.053479004163447e-05
7615,468,526,1391,8.488349739981874e-06
7581,448,551,1420,1.2209336982728097e-05
7530,451,554,1465,9.348886044270571e-06
7491,444,550,1515,1.2621206053324597e-05
7439,455,543,1563,1.2130583503347176e-05
7390,461,549,1600,1.478885216323935e-05
7330,473,551,1646,9.161068923425844e-06
7293,458,562,1687,1.0979182007023749e-05
7248,462,562,1728,9.32887118694665e-06
7210,454,559,1777,1.0172712814392652e-05
7169,447,557,1827,1.202063642758706e-05
7121,449,562,1868,9.994997503749374e-06
7081,441,554,1924,7.902369538251802e-06
7050,430,549,1971,9.301244041390536e-06
7014,426,539,2021,8.464385832099384e-06
6982,419,544,2055,1.1847692385461777e-05
6937,415,545,2103,7.670608213105366e-06
6908,395,549,2148,1.1601870221479705e-05
6864,396,553,2187,1.1064884482606e-05
6822,400,536,2242,9.298275552755131e-06
6788,402,533,2277,8.568260289375026e-06
6757,387,534,2322,8.591451007389202e-06
6726,369,537,2368,7.752234166200148e-06
6698,356,525,2421,1.1090730708527066e-05
6659,355,523,2463,1.263403200487444e-05
6615,360,519,2506,8.446966883520697e-06
6586,344,516,2554,1.235884434212106e-05
6544,363,487,2606,9.727235758071724e-06
6513,353,493,2641,1.1523216634292656e-05
6476,361,495,2668,8.422707619742827e-06
6449,354,495,2702,9.084487298163838e-06
6420,351,492,2737,8.231390725122204e-06
6394,340,492,2774,7.946982816715874e-06
6369,334,478,2819,7.226425593108881e-06
6347,325,457,2871,6.895175066771152e-06
6327,309,455,2909,8.3368504421136e-06
6303,299,455,2943,8.368594756029311e-06
