S,E,I,R,Beta
10000,0,0,0,0.0
9993,7,0,0,0.0
9985,15,0,0,0.0
9978,20,2,0,0.0004509921828021
9969,26,4,1,0.0001253887049854
9964,26,9,1,8.921004505107276e-05
9956,32,10,2,0.000100441944556
9946,39,12,3,9.216435417923452e-05
9935,49,11,5,0.000109804639246
9923,58,14,5,7.1982839291113e-05
9913,65,17,5,5.933978554601504e-05
9903,70,21,6,6.731966744084284e-05
9889,80,24,7,8.848215188593387e-05
9868,92,33,7,6.141676186264755e-05
9848,106,36,10,5.641303366729849e-05
9828,120,39,13,4.435260845517256e-05
9811,129,44,16,3.2431130178556535e-05
9797,127,57,19,4.29777106847961e-05
9773,139,67,21,4.276173618757741e-05
9745,155,73,27,2.389704590341376e-05
9728,157,84,31,3.059406328320802e-05
9703,167,90,40,3.320851512132559e-05
9674,182,100,44,2.6876162910895184e-05
9648,193,104,55,2.3918867202449293e-05
9624,195,115,66,3.3430915464960786e-05
9587,211,126,76,2.566305893728445e-05
9556,225,134,85,2.811393014000737e-05
9520,240,145,95,2.0283975659229208e-05
9492,249,153,106,2.685439957693992e-05
9453,255,180,112,2.7622036508104425e-05
9406,275,188,131,2.601327355558471e-05
9360,293,199,148,2.0401151054417387e-05
9322,302,217,159,2.7683385124333004e-05
9266,327,234,173,2.2598932592457302e-05
9217,348,238,197,1.1852413744058978e-05
9191,346,248,215,2.0619750737923847e-05
9144,356,269,231,2.032738472746669e-05
9094,370,287,249,2.1456119553498157e-05
9038,396,307,259,2.306583927579031e-05
8974,433,312,281,1.8572171458286904e-05
8922,441,327,310,1.7137995827926297e-05
8872,445,348,335,1.6518454028170766e-05
8821,449,370,360,1.8383648357574216e-05
8761,467,383,389,1.5199094729997024e-05
8710,478,392,420,1.3179783968696547e-05
8665,483,396,456,1.5737292136599696e-05
8611,498,405,486,1.8064749222570613e-05
8548,511,424,517,1.434739230626606e-05
8496,503,457,544,1.7513712206439277e-05
8428,522,473,577,1.4549307603468151e-05
8370,536,486,608,1.2291595989989724e-05
8320,537,503,640,1.4576005505428964e-05
8259,537,522,682,1.971609747453028e-05
8174,560,534,732,1.6953361759997214e-05
8100,571,548,781,1.4418311255294223e-05
8036,570,578,816,1.4640002342400376e-05
7968,589,580,863,1.6012325162719845e-05
7894,593,610,903,1.2044840032064196e-05
7836,592,628,944,1.1582992752704325e-05
7779,587,627,1007,1.3941759938065784e-05
7711,608,622,1059,1.2926787263862e-05
7649,617,629,1105,1.4757168710395968e-05
7578,631,628,1163,1.5549537464299103e-05
7504,644,633,1219,1.3052543646021753e-05
7442,633,662,1263,1.5832407069859886e-05
7364,652,656,1328,1.0143281090605584e-05
7315,653,656,1376,1.4587466448827167e-05
7245,665,670,1420,1.1536520297065398e-05
7189,665,677,1469,1.2738976521860804e-05
7127,657,696,1520,1.068463943978621e-05
7074,643,713,1570,1.4869853097747276e-05
6999,648,730,1623,1.5853536806627953e-05
6918,675,702,1705,1.482568698527068e-05
6846,671,713,1770,1.434074176052682e-05
6776,678,713,1833,1.5109842344318948e-05
6703,674,723,1900,1.2999691102578086e-05
6640,669,725,1966,1.8072289156626505e-05
6553,691,721,2035,1.672059234074112e-05
6474,711,720,2095,1.480280094737926e-05
6405,705,748,2142,1.5445820653149486e-05
6331,706,761,2202,1.5359417637302298e-05
6257,707,774,2262,1.899681142649948e-05
6165,735,774,2326,1.425065647325592e-05
6097,742,777,2384,1.5620484703640353e-05
6023,739,784,2454,1.3129940669610032e-05
5961,738,788,2513,1.3837830841246444e-05
5896,732,791,2581,1.3937324068086187e-05
5831,714,810,2645,1.6937992128068157e-05
5751,720,822,2707,1.5653682994304173e-05
5677,725,835,2763,1.6454672124836112e-05
5599,731,846,2824,1.646697295236358e-05
5521,741,843,2895,1.6973905091806266e-05
5442,750,852,2956,2.1783278379082533e-05
5341,773,852,3034,1.560257130375086e-05
5270,764,873,3093,1.608447391815611e-05
5196,765,866,3173,1.755658554190735e-05
5117,758,874,3251,1.386324313132203e-05
5055,761,866,3318,1.9645333205410237e-05
4969,778,861,3392,1.5660392926270638e-05
4902,770,864,3464,1.8888737778986656e-05
