S,E,I,R,Beta
10000,0,0,0,0.0
9999,1,0,0,0.0
9995,5,0,0,0.0
9994,6,0,0,0.0
9993,6,1,0,0.0003002101471029
9990,8,2,0,0.0001501501501501
9987,11,2,0,0.0002503254230499
9982,12,6,0,6.678688305616777e-05
9978,16,6,0,8.351707088928977e-05
9973,19,8,0,6.2669206858518e-05
9968,24,7,1,5.732630130703967e-05
9964,23,10,3,3.0108390204737053e-05
9961,26,9,4,1.1154614106124998e-05
9960,25,10,5,3.012048192771084e-05
9957,27,11,5,6.391118171774996e-05
9950,27,17,6,5.3207212533254505e-05
9941,35,18,6,2.235411147995395e-05
9937,39,17,7,3.551788029290412e-05
9931,44,17,8,5.330900863013618e-05
9922,50,19,9,5.30453325411897e-05
9912,58,19,11,6.371861858034918e-05
9900,68,20,12,5.555555555555556e-05
9889,74,23,14,6.155280131195399e-05
9875,78,31,16,4.573295222539812e-05
9861,86,35,18,4.3461254291798863e-05
9846,91,43,20,5.196302122453221e-05
9824,104,49,23,4.5702320015954265e-05
9802,117,54,27,3.778518367377784e-05
9782,129,61,28,4.860047393841482e-05
9753,142,67,38,5.815279186962756e-05
9715,167,75,43,4.6663235546405904e-05
9681,188,81,50,8.161589265469719e-05
9617,235,85,63,5.5049575200778034e-05
9572,258,100,70,6.686167989970748e-05
9508,299,114,79,8.026481854615504e-05
9421,350,144,85,6.118128530823573e-05
9338,398,163,101,6.307100612708544e-05
9242,459,187,112,6.24908144288976e-05
9134,514,226,126,4.844294680383125e-05
9034,559,263,144,5.555691174279507e-05
8902,640,292,166,6.309187099712856e-05
8738,751,321,190,5.7399591714208505e-05
8577,837,370,216,5.861055178998516e-05
8391,938,427,244,4.549314993174632e-05
8228,1001,504,267,4.89520877221412e-05
8025,1091,573,311,5.349774102526464e-05
7779,1230,630,361,4.8359747549874815e-05
7542,1320,722,416,4.774738840149824e-05
7282,1447,797,474,3.96295225469584e-05
7052,1533,874,541,4.4780129563841536e-05
6776,1648,976,600,4.052393210366385e-05
6508,1764,1047,681,3.933150529889303e-05
6240,1849,1132,779,3.2277792878499594e-05
6012,1876,1251,861,3.696311081540623e-05
5734,1953,1360,953,3.680317610127413e-05
5447,2032,1444,1077,3.178450411342338e-05
5197,2107,1506,1190,3.296416029167916e-05
4939,2170,1590,1301,2.9542812246514395e-05
4707,2164,1706,1423,3.1008168971358165e-05
4458,2206,1762,1574,3.3099953201758474e-05
4198,2233,1861,1708,2.598407317115005e-05
3995,2202,1942,1861,3.0547968688976564e-05
3758,2229,1985,2028,2.6274761616863034e-05
3562,2200,2037,2201,2.728853658193714e-05
3364,2159,2122,2355,2.5635968131829957e-05
3181,2119,2180,2520,2.422641313533048e-05
3013,2079,2209,2699,2.6293185242100888e-05
2838,2040,2252,2870,2.3626324795311537e-05
2687,1977,2267,3069,2.3311443012797163e-05
2545,1917,2304,3234,2.1658753547260423e-05
2418,1834,2332,3416,2.021715350991066e-05
2304,1776,2326,3594,2.183200773860705e-05
2187,1734,2288,3791,2.8577960676726108e-05
2044,1701,2289,3966,1.8594845252415405e-05
1957,1612,2270,4161,2.1384885163166675e-05
1862,1561,2234,4343,2.42805504617151e-05
1761,1503,2245,4491,1.972962821033301e-05
1683,1435,2213,4669,2.1479514315962044e-05
1603,1367,2184,4846,2.19940176272054e-05
1526,1309,2145,5020,2.1079837593599065e-05
1457,1242,2106,5195,1.5317219618294886e-05
1410,1157,2076,5357,2.323070826329958e-05
1342,1118,2009,5531,2.1512730714764186e-05
1284,1057,1955,5704,1.3943001011863502e-05
1249,990,1891,5870,1.989957910273221e-05
1202,953,1823,6022,1.4147202094151e-05
1171,898,1748,6183,1.5633335743472592e-05
1139,833,1698,6330,2.326757399864117e-05
1094,789,1660,6457,1.376621660315852e-05
1069,741,1602,6588,1.985357405207943e-05
1035,699,1558,6708,1.48834440289483e-05
1011,653,1516,6820,1.2396618724374884e-05
992,594,1477,6937,1.5697687116430426e-05
969,565,1407,7059,1.3935922627757573e-05
950,537,1336,7177,1.8909549322407818e-05
926,505,1269,7300,1.1913940501781134e-05
912,466,1225,7397,1.163623344074472e-05
899,430,1170,7501,1.0457963739387544e-05
888,401,1107,7604,9.155496960375008e-06
879,366,1051,7704,9.742062654452286e-06
