S,E,I,R,Beta
10000,0,0,0,0.0
9997,3,0,0,0.0
9996,4,0,0,0.0
9992,7,1,0,0.0004003202562049
9988,11,1,0,0.000300360432519
9985,13,2,0,0.000100150225338
9983,15,2,0,0.0002003405789842
9979,17,4,0,7.515783144603668e-05
9976,19,5,0,8.019246190858059e-05
9972,22,6,0,3.342692873378794e-05
9970,23,6,1,0.0001170177198261
9963,27,9,1,0.0001003713740841
9954,34,11,1,3.6531682101302354e-05
9950,34,13,3,7.730962504831851e-05
9940,39,17,4,4.142502071251036e-05
9933,43,18,6,3.3558173093056814e-05
9927,42,23,8,6.131718063603435e-05
9913,54,24,9,4.623558290460338e-05
9902,58,29,11,4.527124440203651e-05
9889,69,26,16,3.1114602860987734e-05
9881,68,33,18,3.6801575107414594e-05
9869,75,36,20,3.940509564179642e-05
9855,81,41,23,4.207348009553155e-05
9838,93,44,25,2.079136557689109e-05
9829,93,50,28,2.238274493844745e-05
9818,91,57,34,3.752506138027897e-05
9797,103,63,37,4.212497832993903e-05
9771,121,65,43,3.30648780142179e-05
9750,137,65,48,4.733727810650888e-05
9720,151,72,57,6.287151348879744e-05
9676,173,90,61,7.464057691424372e-05
9611,216,103,70,6.465084000634386e-05
9547,263,112,78,4.8631582097592366e-05
9495,288,129,88,5.878246812888056e-05
9423,320,155,102,6.709732192678861e-05
9325,384,177,114,5.8163311673558414e-05
9229,438,203,130,6.24503933040368e-05
9112,516,226,146,4.516071386948651e-05
9019,563,254,164,5.06367572220675e-05
8903,616,293,188,4.906886086256157e-05
8775,693,324,208,4.783510956350462e-05
8639,753,375,233,4.228884515954779e-05
8502,825,407,266,4.074774716976552e-05
8361,893,450,296,4.146234501455169e-05
8205,959,495,341,3.570131540881084e-05
8060,1012,549,379,3.209083061013257e-05
7918,1027,644,411,3.137752020320082e-05
7758,1079,694,469,3.3432069378230375e-05
7578,1156,748,518,3.6342183890039134e-05
7372,1251,806,571,3.197666982169809e-05
7182,1317,861,640,2.9432207438198023e-05
7000,1352,927,721,2.758514408999846e-05
6821,1399,985,795,2.8725859301336498e-05
6628,1467,1018,887,3.201278614391763e-05
6412,1531,1085,972,2.93228997473056e-05
6208,1582,1142,1068,3.060849116218607e-05
5991,1651,1210,1148,2.703780188188619e-05
5795,1694,1265,1246,2.223533303549809e-05
5632,1683,1342,1343,2.222767917626338e-05
5464,1677,1409,1450,2.61080462660558e-05
5263,1715,1469,1553,2.6774118403946944e-05
5056,1736,1546,1662,2.3027985655100136e-05
4876,1754,1572,1798,2.49182264693665e-05
4685,1778,1630,1907,2.3178005774859067e-05
4508,1794,1658,2040,1.993507320587017e-05
4359,1759,1704,2178,2.28871893131366e-05
4189,1755,1744,2312,1.8205172568610232e-05
4056,1701,1795,2448,2.1701746578541093e-05
3898,1691,1812,2599,2.0245849742382185e-05
3755,1674,1816,2755,1.935744997858949e-05
3623,1649,1816,2912,1.7478882470170388e-05
3508,1613,1801,3078,1.709426601337025e-05
3400,1552,1815,3233,1.6690973910225247e-05
3297,1498,1853,3352,1.7186796415521738e-05
3192,1453,1868,3487,2.213778557743395e-05
3060,1453,1846,3641,1.87651803227611e-05
2954,1413,1824,3809,1.8559431754742303e-05
2854,1362,1823,3961,1.3261982585671446e-05
2785,1297,1825,4093,1.7510636728068664e-05
2696,1253,1819,4232,1.4885734653827144e-05
2623,1198,1796,4383,1.4010037979939324e-05
2557,1138,1794,4511,1.678562662052145e-05
2480,1092,1760,4668,1.3059017595307918e-05
2423,1048,1723,4806,1.5569499972334197e-05
2358,993,1701,4948,1.321380079272832e-05
2305,959,1631,5105,1.6491752128965502e-05
2243,935,1599,5223,1.44985845756808e-05
2191,896,1546,5367,1.2989750496415125e-05
2147,860,1509,5484,1.3580988837970469e-05
2103,812,1484,5601,1.217616215059221e-05
2065,774,1425,5736,1.5632301091712332e-05
2019,745,1382,5854,1.1110083727024526e-05
1988,690,1343,5979,1.2360087554365656e-05
1955,637,1329,6079,1.1546477458389382e-05
1925,598,1290,6187,1.570522500755059e-05
1886,576,1234,6304,1.675744331257702e-05
1847,560,1198,6395,1.084644774317058e-05
1823,516,1166,6495,9.879479756005078e-06
1802,491,1113,6594,1.1966338689267093e-05
1778,467,1087,6668,1.5522438719999008e-05
