S,E,I,R,Beta
10000,0,0,0,0.0
9996,4,0,0,0.0
9994,6,0,0,0.0
9992,8,0,0,0.0
9989,8,3,0,0.0002002202422664
9983,13,3,1,0.0002003405789842
9977,16,5,2,8.018442417560389e-05
9973,17,7,3,5.729756055635932e-05
9969,20,6,5,0.0001337479519844
9961,26,8,5,5.019576347756249e-05
9957,27,8,8,0.0001129858391081
9948,32,10,10,0.0001306795335745
9935,40,14,11,7.189589474441009e-05
9925,43,20,12,3.526448362720403e-05
9918,44,24,14,4.2011158163608256e-05
9908,45,30,17,3.027856277755349e-05
9899,50,32,19,3.472572987170421e-05
9888,57,34,21,5.948981534361317e-05
9868,70,38,24,4.800204808738506e-05
9850,76,50,24,1.4213197969543147e-05
9843,76,54,27,4.139057273264324e-05
9821,91,57,31,3.929996052140329e-05
9799,105,55,41,2.968763046321981e-05
9783,110,59,48,2.9452682533e-05
9766,116,65,53,2.2054537721136124e-05
9752,118,68,62,3.468368479467259e-05
9729,135,70,66,3.9645830580150654e-05
9702,145,83,70,3.8496596155804415e-05
9671,163,93,73,3.557915639596488e-05
9639,179,103,79,4.431833862635309e-05
9595,200,117,88,3.2958761463190853e-05
9558,211,134,97,3.3573500982220096e-05
9515,237,131,117,3.209075264848993e-05
9475,256,138,131,3.976903368896027e-05
9423,281,154,142,2.6186272604610712e-05
9385,290,169,156,2.585013855043772e-05
9344,301,179,176,3.2285528430397184e-05
9290,328,190,192,3.229278794402584e-05
9233,342,217,208,3.593601592364794e-05
9161,376,240,223,2.8199250445730088e-05
9099,407,259,235,2.8854628261156453e-05
9031,429,287,253,2.392070363907208e-05
8969,453,305,273,3.9845807690972e-05
8860,516,326,298,2.4581423368278197e-05
8789,534,347,330,2.754294321923888e-05
8705,562,383,350,3.1493559567068535e-05
8600,609,405,386,2.9859316681022107e-05
8496,652,435,417,2.7328614412191267e-05
8395,683,463,459,3.0873051299433865e-05
8275,738,478,509,2.2753416172622586e-05
8185,749,521,545,2.13395366506542e-05
8094,774,544,588,2.543641622698004e-05
7982,821,569,628,2.466005454275635e-05
7870,849,606,675,2.138714506774693e-05
7768,883,624,725,2.2487060656473632e-05
7659,899,668,774,2.4041224249503345e-05
7536,921,704,839,2.5257551630959277e-05
7402,970,731,897,2.199279892926488e-05
7283,1000,756,961,2.1976233702170816e-05
7162,1020,809,1009,1.9847920058791264e-05
7047,1051,822,1080,2.5377056447895723e-05
6900,1085,885,1130,1.8013592074019486e-05
6790,1085,936,1189,2.092695391664464e-05
6657,1097,979,1267,1.933344718585565e-05
6531,1101,1031,1337,1.856400445476702e-05
6406,1112,1072,1410,1.922171844492803e-05
6274,1129,1108,1489,1.7406084822009116e-05
6153,1130,1136,1581,1.774011532219483e-05
6029,1132,1171,1668,1.7847129140551667e-05
5903,1147,1171,1779,1.6781404699053716e-05
5787,1142,1180,1891,1.7572993823092672e-05
5667,1138,1211,1984,1.7631449376538836e-05
5546,1134,1248,2072,1.3581051716644938e-05
5452,1118,1246,2184,1.4426207885777408e-05
5354,1092,1269,2285,1.5307115188691103e-05
5250,1097,1276,2377,1.567398119122257e-05
5145,1086,1283,2486,1.3179751357173534e-05
5058,1080,1263,2599,1.0801073344923356e-05
4989,1035,1260,2716,1.2726410802177489e-05
4909,1002,1270,2819,1.4275563283251236e-05
4820,1002,1259,2919,1.4171821804171789e-05
4734,988,1251,3027,1.3846126309767564e-05
4652,974,1254,3120,1.388506049772285e-05
4571,945,1261,3223,1.2144278890935874e-05
4501,922,1253,3324,1.3475767467121344e-05
4425,907,1223,3445,1.274997574732874e-05
4356,884,1213,3547,1.4572768076477886e-05
4279,889,1174,3658,1.194375447144308e-05
4219,863,1179,3739,1.4474686487337364e-05
4147,870,1143,3840,1.11813850613742e-05
4094,844,1138,3924,1.4380854832353576e-05
4027,815,1128,4030,1.0126680368505496e-05
3981,791,1104,4124,1.1148972110277442e-05
3932,754,1104,4210,1.082717796747608e-05
3885,735,1080,4300,1.0248343581676914e-05
3842,713,1064,4381,1.2720505062761016e-05
3790,693,1044,4473,9.603817264630658e-06
3752,669,1016,4563,1.3116364185820055e-05
3702,658,997,4643,1.2734042213079e-05
3655,633,978,4734,1.2029351617947792e-05
